female	married	nevermar	wkswork	wsal	age	hsdeg	somecol	colldeg	msdoc	hrswkd	nonwht	hispanic	stateid
0	1	0	52	22500	47	1	0	0	0	46	0	0	1
1	1	0	52	22500	48	1	0	0	0	46	0	0	1
0	1	0	52	46000	61	0	0	1	0	40	0	0	1
0	1	0	52	40000	46	0	0	0	0	45	0	0	1
1	1	0	52	75000	40	0	0	0	1	45	0	0	1
1	1	0	52	23000	28	0	1	0	0	38	0	0	1
0	1	0	52	130000	53	1	0	0	0	40	0	0	1
1	1	0	52	29200	29	0	1	0	0	40	0	0	1
0	1	0	51	41000	29	1	0	0	0	72	0	0	1
1	1	0	52	20000	27	1	0	0	0	40	0	0	1
1	0	0	52	19000	28	0	1	0	0	40	1	0	1
1	0	0	52	43500	55	0	0	0	1	40	0	0	1
0	0	1	52	50000	63	0	0	1	0	40	0	0	1
0	1	0	52	75000	52	0	0	1	0	40	0	0	1
1	1	0	52	25000	50	1	0	0	0	40	0	0	1
0	0	0	52	30000	53	1	0	0	0	60	1	0	1
0	0	0	52	43000	53	1	0	0	0	52	1	0	1
1	0	0	52	18000	58	0	1	0	0	40	0	0	1
0	1	0	52	23000	33	1	0	0	0	40	1	0	1
0	1	0	52	73000	52	0	1	0	0	40	0	0	1
1	1	0	52	60000	49	0	1	0	0	36	0	0	1
0	1	0	52	35000	46	1	0	0	0	40	1	0	1
0	1	0	52	8000	56	1	0	0	0	84	1	0	1
0	1	0	52	60000	61	1	0	0	0	48	1	0	1
1	1	0	52	25002	50	1	0	0	0	40	1	0	1
0	1	0	52	40000	49	0	0	1	0	40	1	0	1
1	1	0	52	24000	47	0	0	0	1	40	1	0	1
0	1	0	52	68000	55	0	0	1	0	55	1	0	1
1	1	0	52	60000	31	0	1	0	0	60	0	0	1
0	1	0	52	280000	55	0	1	0	0	60	0	0	1
0	1	0	52	40000	57	1	0	0	0	40	0	0	1
1	1	0	52	50002	50	1	0	0	0	40	0	0	1
0	0	0	52	30000	47	1	0	0	0	40	1	0	1
1	0	0	52	20000	52	1	0	0	0	40	1	0	1
1	0	1	52	43000	27	0	1	0	0	40	1	0	1
0	1	0	52	45502	47	0	1	0	0	40	0	0	1
