female	married	nevermar	wkswork	wsal	age	hsdeg	somecol	colldeg	msdoc	hrswkd	nonwht	hispanic	stateid
0	1	0	52	28000	28	0	1	0	0	40	0	0	8
1	1	0	52	14000	26	0	1	0	0	36	1	0	8
0	0	0	52	23000	30	1	0	0	0	40	0	0	8
0	0	0	51	140000	27	0	1	0	0	60	0	0	8
1	1	0	52	45000	50	0	1	0	0	40	0	0	8
0	1	0	52	62000	57	0	0	0	0	45	0	1	8
0	1	0	52	16000	40	0	1	0	0	40	0	1	8
1	0	1	52	28600	53	1	0	0	0	52	0	1	8
0	1	0	52	36000	48	1	0	0	0	40	0	1	8
1	1	0	52	51000	51	1	0	0	0	40	0	1	8
1	1	0	52	31200	60	1	0	0	0	39	0	0	8
0	1	0	52	52000	47	0	1	0	0	40	0	0	8
1	0	0	52	30000	30	1	0	0	0	40	0	0	8
1	0	0	52	30000	60	0	1	0	0	36	0	0	8
1	0	0	52	43000	62	0	0	0	1	40	0	0	8
1	1	0	52	42000	46	0	0	0	1	40	0	0	8
1	1	0	52	31000	64	0	0	0	0	40	0	1	8
1	0	1	52	30000	36	0	0	1	0	40	0	1	8
0	1	0	52	39000	24	1	0	0	0	35	1	1	8
0	0	0	52	36000	45	0	1	0	0	40	0	1	8
1	0	0	52	32208	41	0	1	0	0	40	0	0	8
0	1	0	52	31616	34	0	0	0	0	40	0	0	8
1	1	0	52	10080	30	0	1	0	0	40	0	0	8
0	1	0	52	55000	34	0	0	0	1	40	0	0	8
1	1	0	52	38000	43	0	1	0	0	40	0	1	8
0	1	0	52	50000	44	0	1	0	0	40	0	1	8
0	0	1	51	21000	47	1	0	0	0	40	0	1	8
1	0	1	52	24000	62	1	0	0	0	40	0	1	8
1	0	1	51	20000	53	1	0	0	0	40	0	1	8
0	0	1	48	11000	24	0	1	0	0	35	0	0	8
0	0	1	52	26000	39	0	0	1	0	40	0	0	8
0	0	0	52	160002	45	0	0	0	1	50	0	0	8
0	0	0	52	32000	61	0	0	0	1	40	0	0	8
0	1	0	52	50000	45	1	0	0	0	50	0	0	8
0	0	1	49	49002	41	0	1	0	0	40	0	0	8
0	1	0	52	60000	57	0	0	0	1	40	0	0	8
1	0	1	52	12800	30	0	0	1	0	40	0	0	8
0	1	0	52	72000	45	1	0	0	0	40	0	0	8
1	1	0	52	50000	44	1	0	0	0	40	0	0	8
1	1	0	52	45000	32	0	0	0	1	55	0	0	8
0	1	0	52	105000	36	0	0	0	1	50	0	0	8
1	1	0	52	21000	34	0	0	0	1	50	0	0	8
0	0	1	52	12000	26	0	1	0	0	40	1	1	8
0	1	0	52	45000	32	0	0	0	1	65	0	0	8
0	1	0	50	174000	42	0	0	0	1	60	1	0	8
1	0	0	52	50000	35	0	0	1	0	55	0	0	8
0	0	1	52	10500	28	0	1	0	0	40	0	0	8
1	0	0	52	15000	44	0	0	0	0	35	0	1	8
0	0	0	52	30000	44	0	0	0	1	45	0	1	8
0	0	0	52	23000	43	1	0	0	0	40	0	1	8
0	1	0	52	40000	40	0	0	0	0	40	0	1	8
