female	married	nevermar	wkswork	wsal	age	hsdeg	somecol	colldeg	msdoc	hrswkd	nonwht	hispanic	stateid
0	0	1	52	30000	35	0	0	0	1	40	0	0	11
1	0	1	52	95000	37	0	0	0	1	40	0	0	11
1	0	0	52	94000	31	0	0	0	1	40	0	0	11
0	1	0	52	129000	35	0	0	0	1	45	0	1	11
1	1	0	52	300000	33	0	0	0	1	45	0	0	11
0	0	1	52	105000	27	0	0	1	0	50	0	0	11
1	0	1	52	65000	42	0	1	0	0	40	1	0	11
0	1	0	52	107000	41	0	0	0	1	40	0	0	11
1	1	0	52	250000	42	0	0	0	1	55	0	0	11
1	0	1	52	33000	30	0	0	1	0	40	1	0	11
1	1	0	52	100000	35	0	0	0	1	80	0	0	11
0	1	0	52	100000	35	0	0	0	1	80	0	0	11
0	0	1	52	135000	29	0	0	0	1	50	0	1	11
0	1	0	52	75000	37	0	0	0	1	40	0	0	11
0	0	1	52	65000	26	0	0	0	1	40	0	0	11
0	0	0	52	159000	50	0	0	0	1	50	0	0	11
0	1	0	52	1099999	53	0	0	0	1	60	0	0	11
0	1	0	52	350000	41	0	0	0	1	40	0	0	11
1	1	0	52	350000	37	0	0	0	1	40	0	0	11
0	1	0	52	95000	51	0	0	0	1	60	0	0	11
1	0	0	52	160000	28	0	0	0	1	40	0	0	11
1	0	1	52	44000	25	0	0	1	0	50	1	0	11
0	0	1	52	80200	29	0	0	0	1	40	0	1	11
0	0	1	52	25000	26	0	0	0	1	40	1	0	11
0	0	1	52	27000	36	1	0	0	0	40	1	0	11
0	1	0	52	62000	31	0	0	0	1	40	0	0	11
1	1	0	52	50000	31	0	0	0	1	40	0	0	11
1	0	0	52	20000	62	1	0	0	0	40	1	0	11
1	0	1	52	45000	28	0	0	1	0	40	1	0	11
1	1	0	52	64000	43	0	0	0	1	40	1	0	11
0	1	0	52	102000	47	0	0	1	0	40	1	0	11
1	0	1	52	34000	26	0	1	0	0	40	1	0	11
1	0	0	52	80000	35	0	0	1	0	40	0	1	11
0	1	0	52	115000	38	0	0	0	1	40	0	0	11
1	1	0	52	115000	39	0	0	0	1	40	0	0	11
0	1	0	52	185000	37	0	0	0	1	50	0	0	11
1	1	0	52	65000	37	0	0	0	1	45	0	0	11
1	1	0	52	70000	36	0	0	0	1	40	0	0	11
1	0	1	52	45000	25	0	0	1	0	38	0	0	11
1	0	1	52	50000	26	0	0	0	1	40	0	0	11
0	1	0	52	31000	33	0	0	0	1	40	0	0	11
1	0	1	52	74000	32	0	0	1	0	40	0	0	11
1	1	0	52	109000	37	0	0	0	1	45	0	0	11
0	1	0	52	400000	39	0	0	1	0	55	1	0	11
0	0	1	52	101000	32	0	0	1	0	50	0	0	11
1	0	1	52	65000	29	0	0	1	0	40	0	0	11
0	1	0	52	75000	52	0	0	0	1	60	0	1	11
0	0	1	52	66000	61	0	1	0	0	40	1	0	11
1	0	1	52	35000	59	0	1	0	0	40	1	0	11
0	0	1	52	34000	38	1	0	0	0	40	1	0	11
1	0	1	52	140000	31	0	0	0	1	40	1	0	11
0	0	0	52	45000	64	0	1	0	0	40	1	0	11
0	0	1	52	30000	47	0	0	0	0	40	1	0	11
1	0	1	52	26400	30	1	0	0	0	40	1	0	11
0	0	1	52	50000	37	0	0	0	1	50	0	0	11
0	0	1	52	97000	26	0	0	1	0	45	0	0	11
0	1	0	52	150000	35	0	0	1	0	50	0	0	11
0	1	0	52	145000	39	0	0	0	1	40	0	0	11
1	0	1	52	100000	48	0	0	1	0	45	1	0	11
0	0	0	52	60000	53	0	0	1	0	40	1	0	11
