female	married	nevermar	wkswork	wsal	age	hsdeg	somecol	colldeg	msdoc	hrswkd	nonwht	hispanic	stateid
0	1	0	52	25000	55	1	0	0	0	40	0	0	23
1	1	0	52	20000	42	0	1	0	0	40	0	0	23
0	1	0	52	55002	59	0	0	1	0	40	0	0	23
1	1	0	52	50002	60	0	1	0	0	40	0	0	23
0	1	0	52	37000	28	1	0	0	0	45	0	0	23
1	1	0	52	32800	29	0	0	1	0	40	0	0	23
0	1	0	52	60000	62	0	1	0	0	40	0	0	23
1	1	0	52	45000	51	0	1	0	0	60	0	0	23
0	1	0	52	81000	52	0	0	0	0	40	0	0	23
1	0	0	52	21000	45	0	1	0	0	50	0	0	23
1	1	0	52	29000	58	0	0	1	0	35	0	0	23
0	1	0	52	42000	60	1	0	0	0	40	0	0	23
1	1	0	52	45000	51	0	1	0	0	40	0	0	23
0	1	0	52	140000	54	1	0	0	0	40	0	0	23
0	1	0	52	41000	39	0	0	1	0	40	0	0	23
1	1	0	52	33800	37	0	1	0	0	46	0	0	23
0	1	0	52	20000	63	1	0	0	0	35	0	0	23
1	1	0	52	30000	62	1	0	0	0	40	0	0	23
0	1	0	52	65000	50	0	1	0	0	40	0	0	23
0	1	0	52	60000	45	1	0	0	0	60	0	0	23
1	1	0	52	40000	43	0	1	0	0	40	0	0	23
1	1	0	52	55000	56	0	0	0	1	40	0	0	23
0	1	0	52	72000	51	0	0	0	1	45	0	0	23
0	0	0	52	160002	53	0	0	0	1	50	0	0	23
1	0	0	52	28000	34	1	0	0	0	40	0	0	23
1	1	0	52	45000	31	0	1	0	0	40	0	0	23
0	0	0	52	26200	50	1	0	0	0	35	0	0	23
1	1	0	52	109000	57	0	1	0	0	45	0	1	23
0	1	0	52	75000	55	0	0	1	0	45	0	0	23
1	1	0	52	19000	46	0	1	0	0	40	0	0	23
0	1	0	52	21000	45	1	0	0	0	40	0	0	23
0	1	0	52	101000	44	0	0	1	0	50	0	0	23
1	1	0	52	58000	45	0	0	0	1	40	0	0	23
1	0	0	52	47000	46	0	0	0	1	40	0	0	23
