female	married	nevermar	wkswork	wsal	age	hsdeg	somecol	colldeg	msdoc	hrswkd	nonwht	hispanic	stateid
1	0	0	52	40000	61	0	1	0	0	40	0	0	41
0	1	0	52	86200	57	0	1	0	0	40	0	0	41
1	1	0	52	45000	55	0	1	0	0	40	0	0	41
1	0	0	52	20000	41	0	1	0	0	40	0	1	41
0	0	0	52	50000	53	0	1	0	0	40	0	0	41
1	0	0	52	110000	52	0	0	1	0	40	0	0	41
0	1	0	49	70000	53	0	1	0	0	40	0	0	41
0	1	0	52	98000	62	0	1	0	0	40	0	0	41
0	1	0	52	48000	34	1	0	0	0	40	0	1	41
1	1	0	52	52000	35	1	0	0	0	40	0	0	41
0	0	1	52	27500	24	1	0	0	0	45	0	0	41
0	1	0	52	35000	63	0	0	0	0	40	0	1	41
0	1	0	52	68002	43	0	1	0	0	38	0	0	41
0	0	0	52	60000	53	0	1	0	0	40	0	0	41
0	0	1	52	20000	24	1	0	0	0	40	0	0	41
0	1	0	52	98500	41	0	0	0	1	40	1	0	41
1	1	0	52	87000	42	0	0	0	1	40	1	0	41
0	1	0	52	48000	59	1	0	0	0	40	0	0	41
1	0	0	52	104000	56	0	0	1	0	36	0	0	41
0	0	0	52	18000	40	0	0	1	0	40	0	0	41
1	1	0	52	76000	30	0	0	1	0	50	1	0	41
0	1	0	52	34000	34	0	0	1	0	40	1	0	41
0	1	0	52	45000	44	1	0	0	0	40	0	1	41
1	0	1	52	25000	25	0	1	0	0	40	0	1	41
1	1	0	52	30000	44	0	0	0	0	40	0	1	41
0	1	0	52	46000	60	0	0	0	0	40	0	1	41
1	0	0	52	21000	58	0	1	0	0	40	0	1	41
0	1	0	52	46000	45	0	0	0	0	40	0	1	41
1	1	0	52	78000	44	0	1	0	0	40	0	1	41
0	1	0	52	58000	46	0	1	0	0	80	0	0	41
1	1	0	52	24960	58	1	0	0	0	40	0	0	41
0	1	0	52	50000	54	1	0	0	0	40	0	0	41
0	1	0	52	30000	57	0	1	0	0	57	0	0	41
0	0	1	52	16000	24	1	0	0	0	40	0	0	41
1	0	0	52	15000	28	1	0	0	0	60	0	0	41
0	0	1	52	37010	56	1	0	0	0	40	1	0	41
0	1	0	52	96000	41	1	0	0	0	40	0	0	41
0	1	0	52	35000	44	1	0	0	0	60	0	0	41
0	0	1	52	32000	38	0	0	0	0	40	0	0	41
1	1	0	52	45000	40	0	0	0	0	40	0	1	41
0	1	0	52	15000	46	1	0	0	0	40	0	1	41
0	1	0	52	75000	35	0	1	0	0	55	0	0	41
1	1	0	52	10000	52	0	0	0	0	40	0	1	41
1	1	0	52	42000	54	0	1	0	0	40	1	0	41
0	1	0	52	60000	58	0	1	0	0	45	0	0	41
0	1	0	52	90000	42	0	0	1	0	45	0	0	41
0	1	0	52	50000	60	1	0	0	0	50	0	0	41
1	1	0	52	37000	62	0	0	1	0	45	0	0	41
0	0	1	52	92839	45	0	1	0	0	40	0	0	41
0	1	0	52	38000	55	0	1	0	0	40	0	0	41
1	1	0	52	76000	59	0	0	1	0	40	0	0	41
1	0	1	48	9000	25	0	0	1	0	40	0	0	41
0	0	1	52	110000	56	0	0	1	0	50	0	0	41
1	0	1	52	96350	34	0	0	1	0	40	0	0	41
1	0	0	52	60000	38	0	1	0	0	40	0	0	41
0	0	1	52	35000	48	1	0	0	0	40	0	0	41
1	1	0	52	32000	37	0	0	0	1	40	0	0	41
1	1	0	52	30000	38	0	0	0	0	40	0	0	41
0	1	0	52	30000	40	0	1	0	0	40	0	0	41
1	1	0	52	41600	63	0	1	0	0	40	0	0	41
0	1	0	52	120000	47	0	0	0	1	60	0	0	41
1	0	1	52	45000	29	0	1	0	0	60	0	0	41
0	1	0	52	30000	54	0	1	0	0	55	0	0	41
1	1	0	52	60000	52	0	0	1	0	70	0	0	41
1	1	0	52	127000	40	0	0	1	0	40	0	0	41
1	1	0	52	40000	37	0	1	0	0	35	0	0	41
0	1	0	52	70000	42	1	0	0	0	45	0	0	41
0	0	1	50	31000	28	0	0	1	0	40	0	0	41
1	0	1	50	32000	27	0	1	0	0	40	0	0	41
1	1	0	52	120000	45	0	0	1	0	50	0	0	41
0	1	0	52	80000	47	0	1	0	0	50	0	0	41
0	1	0	52	55002	39	0	0	1	0	40	0	0	41
0	1	0	52	100002	61	0	0	1	0	55	0	0	41
0	0	1	52	18913	36	0	0	1	0	40	0	1	41
0	0	1	52	21600	47	1	0	0	0	40	0	1	41
1	0	1	52	100000	36	1	0	0	0	40	0	1	41
0	1	0	50	20000	38	0	0	1	0	40	0	0	41
1	1	0	52	40000	30	0	0	1	0	40	0	0	41
1	1	0	52	28000	43	1	0	0	0	70	0	1	41
0	1	0	52	30002	44	1	0	0	0	40	0	1	41
0	1	0	52	36000	62	0	0	1	0	45	0	0	41
1	1	0	52	194000	32	0	0	0	1	55	0	0	41
0	1	0	52	88000	37	0	0	0	1	50	0	0	41
0	1	0	52	68000	51	0	1	0	0	40	0	0	41
1	1	0	52	25000	32	0	1	0	0	40	1	0	41
0	1	0	52	55000	43	0	0	1	0	40	0	0	41
1	1	0	52	67000	42	1	0	0	0	45	0	0	41
0	1	0	52	25300	35	0	0	0	0	35	0	1	41
0	0	1	52	35000	31	0	1	0	0	40	0	0	41
0	0	0	52	150000	53	0	0	0	1	40	0	1	41
1	1	0	52	56000	37	0	0	0	1	50	0	0	41
1	0	0	52	90000	51	0	0	0	1	50	0	0	41
0	1	0	52	100000	46	0	0	0	1	50	0	0	41
1	1	0	52	120002	51	0	0	0	1	40	0	0	41
0	0	1	52	18002	33	0	1	0	0	40	0	0	41
1	0	0	52	15000	29	0	1	0	0	38	0	0	41
0	1	0	52	30000	43	0	0	1	0	40	0	0	41
1	1	0	52	60000	42	0	0	1	0	35	0	0	41
0	1	0	52	30000	41	0	0	1	0	40	0	0	41
0	1	0	52	80000	53	0	0	0	1	40	0	1	41
1	1	0	52	89000	53	0	0	1	0	40	0	0	41
1	1	0	52	24500	46	0	0	1	0	35	0	0	41
0	1	0	52	55000	42	1	0	0	0	40	1	0	41
0	0	1	52	83000	55	0	0	1	0	40	1	0	41
