female	married	nevermar	wkswork	wsal	age	hsdeg	somecol	colldeg	msdoc	hrswkd	nonwht	hispanic	stateid
0	1	0	52	67000	39	0	0	0	1	50	0	0	49
0	1	0	52	80000	30	0	1	0	0	40	0	0	49
1	0	0	52	77000	64	0	0	1	0	40	0	0	49
0	1	0	52	35000	61	1	0	0	0	40	0	0	49
1	1	0	52	64000	45	0	1	0	0	35	0	0	49
0	1	0	52	41000	53	0	0	1	0	60	0	0	49
0	0	0	52	34000	35	1	0	0	0	40	0	1	49
1	1	0	52	25000	53	0	1	0	0	52	0	0	49
0	1	0	52	40000	55	1	0	0	0	40	0	0	49
0	1	0	52	48000	38	1	0	0	0	40	0	0	49
1	1	0	52	77000	31	0	1	0	0	60	0	0	49
0	0	0	52	24000	39	1	0	0	0	40	0	0	49
0	0	0	52	60000	36	0	0	0	0	40	0	1	49
0	1	0	52	80000	63	0	1	0	0	60	0	0	49
1	1	0	52	30000	56	1	0	0	0	40	0	0	49
1	1	0	52	38000	42	1	0	0	0	39	0	0	49
0	1	0	52	52000	43	1	0	0	0	80	0	0	49
0	1	0	52	43000	38	0	1	0	0	50	0	0	49
0	0	0	52	53000	28	1	0	0	0	40	1	1	49
1	0	0	52	50000	24	1	0	0	0	40	1	0	49
0	1	0	52	20000	25	1	0	0	0	70	0	0	49
1	0	0	52	22000	27	0	1	0	0	37	0	0	49
0	1	0	52	25000	44	1	0	0	0	40	0	0	49
0	0	0	52	46000	39	0	1	0	0	40	0	0	49
0	1	0	52	40000	32	0	0	1	0	40	0	0	49
0	1	0	52	60000	64	0	0	0	1	50	0	0	49
0	1	0	52	50000	48	0	1	0	0	48	0	0	49
1	1	0	52	55000	43	0	0	0	1	45	0	0	49
1	1	0	52	40000	56	0	1	0	0	50	0	0	49
0	1	0	52	48000	55	1	0	0	0	40	0	0	49
0	1	0	52	76000	46	0	0	0	1	40	0	0	49
0	1	0	52	65000	57	0	0	0	1	40	0	0	49
1	0	1	52	18000	32	0	1	0	0	40	0	0	49
1	0	1	50	25600	30	0	0	1	0	40	0	0	49
0	1	0	49	18700	28	0	1	0	0	40	0	0	49
1	0	1	52	22000	34	1	0	0	0	40	0	0	49
0	0	0	52	75000	60	0	1	0	0	40	0	0	49
0	1	0	52	75829	62	0	1	0	0	48	0	0	49
1	1	0	52	2800	30	0	0	0	1	50	0	0	49
0	1	0	52	78000	43	0	0	0	1	40	0	0	49
0	1	0	52	61000	41	0	0	1	0	45	1	0	49
0	1	0	52	60510	35	0	0	0	1	40	1	0	49
1	1	0	52	54602	44	0	0	0	1	40	1	0	49
0	1	0	52	42800	39	0	0	1	0	40	0	0	49
0	1	0	52	115000	54	0	1	0	0	40	0	0	49
0	1	0	52	52000	42	0	0	1	0	40	0	0	49
1	1	0	52	42000	41	0	0	1	0	40	0	0	49
1	0	1	52	53000	59	0	0	0	1	40	0	0	49
0	1	0	50	106000	41	0	0	1	0	45	0	0	49
1	1	0	52	32000	57	1	0	0	0	48	0	0	49
0	1	0	52	40000	62	1	0	0	0	40	0	0	49
0	0	1	52	7000	26	0	1	0	0	42	0	0	49
0	0	1	52	23400	24	0	1	0	0	40	0	0	49
0	0	1	52	30000	24	1	0	0	0	40	0	0	49
1	1	0	52	17000	34	0	1	0	0	36	0	0	49
0	1	0	52	29000	36	0	1	0	0	48	0	0	49
0	1	0	52	66000	61	0	1	0	0	40	0	0	49
1	1	0	52	26000	60	1	0	0	0	35	0	0	49
1	1	0	52	57000	36	0	1	0	0	40	0	0	49
0	1	0	48	85000	41	1	0	0	0	40	0	0	49
1	0	1	52	35000	62	0	1	0	0	45	0	0	49
0	1	0	52	23000	26	0	1	0	0	40	0	0	49
0	1	0	52	21000	26	0	1	0	0	40	0	0	49
1	1	0	52	18000	24	0	1	0	0	45	0	0	49
1	0	1	52	82000	38	0	0	1	0	40	0	0	49
1	0	1	52	83200	31	0	0	1	0	40	0	0	49
1	1	0	52	48500	41	0	0	0	1	40	0	0	49
0	1	0	52	60000	45	0	1	0	0	60	0	0	49
1	1	0	52	45000	48	0	0	0	1	40	1	0	49
0	1	0	52	55000	34	0	0	1	0	65	0	0	49
1	1	0	52	62000	50	0	0	0	1	50	0	0	49
1	1	0	52	43000	28	0	0	1	0	40	0	1	49
0	1	0	52	45000	36	0	0	0	0	50	0	1	49
0	0	0	52	68000	50	0	1	0	0	48	0	0	49
0	1	0	52	11200	45	0	1	0	0	40	0	1	49
1	1	0	52	25000	45	1	0	0	0	40	0	1	49
0	1	0	52	81000	43	0	0	0	1	45	1	0	49
0	1	0	52	24000	47	0	0	0	0	40	0	1	49
0	1	0	52	50000	37	1	0	0	0	40	0	1	49
0	1	0	52	40000	28	0	1	0	0	45	0	1	49
0	1	0	52	80000	59	1	0	0	0	50	0	0	49
0	1	0	52	28000	62	0	1	0	0	40	1	1	49
0	1	0	52	71000	27	1	0	0	0	40	0	0	49
0	1	0	52	50000	38	0	1	0	0	40	0	0	49
0	1	0	52	250000	39	0	0	1	0	50	0	0	49
0	1	0	52	114300	39	0	1	0	0	55	0	0	49
0	1	0	52	40000	24	0	1	0	0	40	0	0	49
0	1	0	52	25000	30	0	1	0	0	40	0	0	49
0	1	0	52	58000	25	0	1	0	0	40	0	0	49
0	1	0	52	39000	37	1	0	0	0	40	0	0	49
0	1	0	52	68000	39	0	1	0	0	50	0	0	49
0	1	0	52	40000	33	1	0	0	0	48	0	0	49
0	1	0	52	28000	43	0	0	1	0	50	0	0	49
1	0	1	52	30000	34	0	0	1	0	40	0	0	49
0	1	0	52	101000	50	0	0	1	0	36	0	1	49
0	1	0	52	68000	43	1	0	0	0	36	0	0	49
1	1	0	52	28000	40	0	1	0	0	36	0	0	49
0	1	0	52	85000	58	0	1	0	0	40	0	0	49
0	1	0	52	31700	50	0	0	0	0	40	0	1	49
0	1	0	52	20000	29	0	0	1	0	70	0	0	49
0	1	0	52	150000	43	0	0	1	0	50	0	0	49
0	0	1	52	49999	30	0	1	0	0	40	0	0	49
1	1	0	52	28000	28	0	1	0	0	40	0	0	49
0	0	1	52	25000	51	1	0	0	0	40	0	1	49
0	1	0	52	120000	45	0	1	0	0	60	0	0	49
0	0	1	52	45800	44	0	0	1	0	40	0	0	49
0	1	0	52	56000	31	0	0	0	1	70	0	0	49
0	0	0	52	37500	51	0	1	0	0	35	0	0	49
0	0	1	52	65000	51	0	1	0	0	60	0	0	49
0	1	0	52	98000	56	0	1	0	0	40	0	0	49
0	1	0	52	55000	34	0	1	0	0	50	1	0	49
1	0	1	52	30000	50	0	1	0	0	36	0	0	49
0	0	0	52	37000	24	1	0	0	0	40	0	0	49
0	0	1	52	20002	28	0	0	0	0	40	0	1	49
0	1	0	52	75000	49	0	0	1	0	35	0	0	49
0	0	0	52	88000	45	0	1	0	0	50	0	1	49
0	1	0	48	500000	46	0	0	0	1	50	0	0	49
0	1	0	52	21000	57	1	0	0	0	40	0	1	49
1	1	0	52	21000	54	1	0	0	0	40	0	1	49
0	1	0	52	140000	62	0	0	1	0	45	0	0	49
0	1	0	52	140000	40	0	0	0	1	40	0	0	49
0	1	0	52	89000	59	0	0	1	0	40	0	0	49
1	1	0	52	70000	60	0	0	1	0	40	0	0	49
0	0	0	52	60000	48	0	0	0	1	40	0	0	49
1	1	0	52	32800	29	0	0	1	0	40	0	0	49
0	1	0	52	86000	41	0	0	1	0	40	0	0	49
1	1	0	52	82000	28	0	0	0	1	45	0	0	49
0	1	0	52	72000	28	0	0	1	0	52	1	0	49
0	1	0	52	75000	49	0	0	1	0	52	1	0	49
1	1	0	52	104000	43	0	0	1	0	45	0	0	49
1	1	0	52	29000	40	1	0	0	0	40	0	0	49
0	1	0	52	88500	40	0	1	0	0	45	0	0	49
0	0	1	52	146500	47	1	0	0	0	47	0	0	49
0	0	0	52	35000	34	1	0	0	0	40	0	1	49
0	1	0	52	62000	46	0	1	0	0	60	0	0	49
1	0	1	52	37000	47	0	0	1	0	40	0	0	49
0	1	0	52	55000	40	0	0	1	0	40	0	0	49
0	1	0	52	80000	38	0	0	1	0	40	0	0	49
