female	married	nevermar	wkswork	wsal	age	hsdeg	somecol	colldeg	msdoc	hrswkd	nonwht	hispanic	stateid
1	1	0	52	28298	32	0	0	1	0	40	0	0	50
0	1	0	52	33727	31	0	1	0	0	40	0	0	50
0	0	0	51	52400	54	0	0	1	0	45	0	0	50
0	1	0	52	37000	46	1	0	0	0	40	1	0	50
1	1	0	52	37000	38	0	0	1	0	38	0	0	50
0	0	0	52	25000	46	1	0	0	0	40	0	0	50
1	0	1	52	37000	24	0	0	1	0	40	0	0	50
0	1	0	52	100000	40	0	0	1	0	40	0	0	50
1	1	0	52	70000	40	0	0	0	1	40	0	0	50
0	1	0	52	25000	36	0	1	0	0	40	0	0	50
0	1	0	52	70000	58	1	0	0	0	50	0	0	50
0	0	1	52	40000	30	0	0	1	0	40	0	0	50
1	1	0	52	24000	62	1	0	0	0	35	0	0	50
1	0	1	48	4800	25	0	0	1	0	35	0	0	50
0	1	0	52	39500	47	1	0	0	0	40	0	0	50
1	0	1	52	24000	35	1	0	0	0	40	0	0	50
0	1	0	52	40000	44	1	0	0	0	40	0	0	50
1	0	0	52	10000	56	0	0	0	1	40	0	0	50
1	0	1	52	35000	55	1	0	0	0	60	0	0	50
0	0	1	52	45000	44	1	0	0	0	50	0	0	50
1	1	0	52	30000	60	1	0	0	0	40	0	0	50
0	1	0	52	30000	50	1	0	0	0	40	0	0	50
1	0	1	52	25000	26	0	1	0	0	40	0	0	50
0	0	1	52	38000	26	1	0	0	0	45	0	0	50
0	1	0	52	80000	50	0	0	0	1	40	0	0	50
1	1	0	52	80000	50	0	0	0	1	40	0	0	50
0	1	0	52	32000	57	0	1	0	0	40	0	0	50
0	1	0	52	70000	54	0	0	1	0	45	0	0	50
1	1	0	52	25000	48	1	0	0	0	40	0	0	50
0	1	0	52	42000	62	0	1	0	0	40	0	0	50
0	0	1	52	41000	49	1	0	0	0	40	0	0	50
0	0	1	52	39500	52	1	0	0	0	40	0	0	50
0	1	0	52	76000	61	0	1	0	0	40	0	0	50
1	1	0	52	50000	55	1	0	0	0	40	0	0	50
0	1	0	52	89000	31	0	0	1	0	42	0	0	50
1	1	0	52	86500	32	0	0	0	1	42	0	0	50
0	0	1	52	120000	46	0	0	1	0	60	0	0	50
1	0	0	52	53000	45	0	0	1	0	40	0	0	50
1	1	0	52	70000	49	0	0	0	1	40	0	0	50
0	1	0	52	41200	45	0	0	1	0	50	0	0	50
0	1	0	52	60000	35	0	0	0	1	60	1	0	50
0	1	0	52	56836	43	1	0	0	0	43	0	0	50
1	1	0	52	28685	36	0	0	0	0	40	0	0	50
1	1	0	52	41000	33	0	1	0	0	40	0	0	50
0	1	0	52	30000	32	1	0	0	0	50	0	0	50
0	0	0	52	65000	48	0	1	0	0	40	1	0	50
1	0	0	52	35000	47	0	1	0	0	40	0	0	50
0	1	0	52	127000	46	0	0	1	0	42	0	0	50
0	1	0	52	63000	32	0	1	0	0	36	0	0	50
0	1	0	52	162000	40	0	0	0	1	50	0	0	50
0	1	0	52	72162	43	0	0	0	0	40	0	0	50
1	0	1	52	78000	47	0	0	0	1	50	0	0	50
0	1	0	52	50000	34	1	0	0	0	40	0	0	50
1	1	0	52	35000	28	1	0	0	0	40	0	0	50
1	0	0	52	64400	44	0	0	0	1	45	0	0	50
0	1	0	52	120000	45	0	0	0	1	40	0	0	50
1	1	0	52	65000	41	0	0	1	0	40	0	0	50
1	1	0	52	40000	59	1	0	0	0	37	0	0	50
0	0	0	52	46000	60	1	0	0	0	40	0	0	50
1	1	0	52	9000	43	0	0	1	0	40	0	0	50
0	1	0	52	84000	49	0	0	1	0	50	0	0	50
0	1	0	52	30000	48	1	0	0	0	40	0	0	50
0	1	0	52	55000	38	1	0	0	0	44	0	0	50
1	1	0	52	22000	56	1	0	0	0	40	0	0	50
0	1	0	52	50000	31	0	1	0	0	40	0	0	50
1	0	1	52	20013	31	0	1	0	0	40	0	0	50
0	0	1	52	33000	31	1	0	0	0	36	0	0	50
0	1	0	52	16000	63	0	0	0	0	35	0	0	50
1	1	0	52	45000	60	0	0	1	0	45	0	0	50
1	1	0	52	100000	58	1	0	0	0	40	0	0	50
0	1	0	52	73000	46	0	0	0	1	45	0	0	50
1	0	1	50	32579	48	0	0	1	0	37	0	0	50
0	0	1	52	54000	35	1	0	0	0	50	0	0	50
1	0	0	52	45000	40	1	0	0	0	50	0	0	50
1	1	0	52	30000	50	1	0	0	0	40	0	0	50
0	1	0	52	110000	56	0	0	0	1	50	0	0	50
0	0	0	52	93000	46	0	0	0	1	40	0	0	50
0	1	0	52	154000	38	0	0	0	1	40	0	0	50
0	1	0	50	300000	48	0	0	1	0	50	0	0	50
0	1	0	52	58000	56	1	0	0	0	42	0	0	50
1	1	0	52	22000	56	1	0	0	0	40	0	0	50
0	0	0	52	28002	53	1	0	0	0	40	0	0	50
1	0	1	52	110000	35	0	0	1	0	40	0	0	50
0	1	0	52	70002	42	0	1	0	0	52	0	0	50
1	1	0	52	30000	40	0	1	0	0	35	0	0	50
1	0	0	52	38000	46	1	0	0	0	40	0	0	50
1	0	1	52	45002	45	0	0	1	0	40	0	0	50
0	1	0	52	85000	47	0	0	1	0	40	0	0	50
1	1	0	52	80000	44	0	0	1	0	40	0	0	50
0	0	1	48	13000	55	0	0	0	1	50	0	0	50
1	1	0	52	52700	48	0	0	0	1	35	0	0	50
1	0	0	52	96000	41	0	0	1	0	40	0	0	50
1	1	0	52	44000	47	1	0	0	0	40	0	0	50
1	1	0	52	27000	49	1	0	0	0	40	0	0	50
0	1	0	52	23000	46	0	0	0	0	40	0	0	50
1	1	0	52	15000	49	1	0	0	0	40	0	0	50
1	0	0	52	17000	45	1	0	0	0	40	1	0	50
0	1	0	52	80000	39	0	0	0	1	40	0	0	50
1	1	0	52	82000	33	0	0	0	1	40	0	0	50
1	0	1	52	38000	32	0	0	1	0	40	1	0	50
1	0	1	52	29000	31	0	0	1	0	40	0	0	50
0	1	0	52	40000	56	0	0	1	0	40	0	1	50
1	1	0	52	47000	43	0	0	1	0	40	0	0	50
0	1	0	51	51000	48	0	0	0	0	57	0	0	50
1	1	0	52	41000	45	0	1	0	0	50	0	0	50
0	0	0	52	46000	54	1	0	0	0	35	0	0	50
0	1	0	52	20000	61	1	0	0	0	40	0	0	50
1	1	0	52	52000	62	0	0	1	0	45	0	0	50
0	0	1	52	82000	37	0	0	0	0	40	0	0	50
0	0	1	52	30000	30	1	0	0	0	40	0	0	50
0	0	1	52	48000	25	1	0	0	0	45	0	0	50
1	1	0	52	61500	62	1	0	0	0	40	0	0	50
1	1	0	52	28000	55	1	0	0	0	40	0	0	50
1	0	0	52	39000	34	0	1	0	0	40	0	0	50
0	1	0	52	30000	31	1	0	0	0	40	0	0	50
0	0	1	49	40800	53	1	0	0	0	40	0	0	50
1	0	0	49	20000	50	1	0	0	0	40	0	0	50
0	1	0	52	35000	49	1	0	0	0	40	0	0	50
1	1	0	52	55000	46	1	0	0	0	40	0	0	50
0	1	0	52	33000	49	1	0	0	0	40	0	0	50
0	1	0	52	60000	38	0	0	1	0	40	0	0	50
0	1	0	52	22400	64	0	0	0	1	40	0	0	50
