female	married	nevermar	wkswork	wsal	age	hsdeg	somecol	colldeg	msdoc	hrswkd	nonwht	hispanic	stateid
0	0	0	52	68000	55	1	0	0	0	40	0	0	53
0	1	0	52	66000	37	1	0	0	0	80	0	0	53
1	0	1	51	14000	33	0	1	0	0	36	0	0	53
0	1	0	52	90000	30	0	1	0	0	40	0	0	53
0	1	0	52	40800	35	1	0	0	0	40	0	0	53
1	0	1	52	33000	36	1	0	0	0	40	1	0	53
0	0	1	52	40684	28	0	1	0	0	40	1	0	53
1	0	1	52	113000	32	0	0	0	1	55	0	0	53
1	0	0	52	43000	59	0	1	0	0	40	0	0	53
1	1	0	52	20512	61	0	1	0	0	39	0	0	53
0	1	0	52	50000	46	0	1	0	0	40	0	0	53
1	1	0	52	32000	45	0	1	0	0	52	0	0	53
0	1	0	52	60000	54	1	0	0	0	40	0	0	53
1	0	0	52	31500	63	1	0	0	0	40	0	0	53
1	0	0	52	25000	58	0	0	0	1	40	0	0	53
1	0	0	52	36735	56	1	0	0	0	40	1	0	53
0	1	0	52	32730	57	1	0	0	0	50	0	0	53
1	0	0	52	35000	59	0	0	1	0	40	0	0	53
1	0	0	52	38000	28	0	0	1	0	40	0	0	53
0	1	0	52	34000	46	0	0	0	0	35	0	1	53
0	1	0	52	42600	36	1	0	0	0	40	0	1	53
1	1	0	52	20000	33	1	0	0	0	40	0	1	53
0	0	1	52	48000	34	0	1	0	0	45	0	0	53
0	1	0	52	50000	38	0	1	0	0	40	0	0	53
0	0	0	50	55300	45	1	0	0	0	52	0	1	53
0	1	0	50	39000	54	1	0	0	0	40	0	0	53
1	1	0	50	37400	43	1	0	0	0	40	0	0	53
1	0	0	52	32000	61	1	0	0	0	40	0	0	53
0	0	1	50	200000	36	0	0	0	1	40	0	0	53
1	1	0	52	24000	42	1	0	0	0	40	0	0	53
0	1	0	52	52000	41	0	0	0	0	60	0	0	53
1	1	0	52	55000	43	0	1	0	0	40	1	1	53
0	1	0	52	78000	47	1	0	0	0	40	0	0	53
0	0	1	52	14000	24	0	0	0	0	40	0	1	53
0	0	1	52	39000	26	1	0	0	0	40	0	0	53
1	1	0	49	80000	35	0	0	0	0	50	0	1	53
0	1	0	52	34000	38	0	0	0	0	54	0	1	53
1	0	0	52	32000	41	1	0	0	0	40	1	0	53
1	1	0	52	35000	27	0	1	0	0	40	1	0	53
0	0	1	52	40000	62	0	0	0	0	40	1	0	53
0	0	0	52	40000	41	0	0	0	0	40	1	0	53
0	1	0	52	33800	52	0	0	1	0	40	0	0	53
1	1	0	52	35000	55	0	0	0	1	40	1	0	53
0	0	0	52	47000	45	1	0	0	0	40	0	0	53
0	1	0	52	60000	59	0	0	0	1	40	0	0	53
0	1	0	52	120000	24	0	1	0	0	45	0	0	53
1	1	0	52	39000	53	1	0	0	0	40	0	0	53
1	0	1	52	30000	32	0	1	0	0	40	0	0	53
1	1	0	52	50000	41	0	1	0	0	40	0	0	53
0	1	0	52	50000	42	1	0	0	0	40	0	0	53
0	1	0	52	140000	53	0	0	0	1	40	0	0	53
1	1	0	52	53000	35	0	0	0	1	40	0	0	53
0	0	0	52	50000	39	0	0	0	1	40	1	0	53
1	1	0	52	48000	41	0	0	1	0	40	0	0	53
0	1	0	52	65000	47	0	0	1	0	40	0	0	53
0	1	0	52	70000	52	0	0	1	0	40	0	0	53
1	0	0	52	93917	60	0	0	1	0	40	0	0	53
1	1	0	52	60000	43	0	0	0	1	40	0	0	53
0	1	0	52	52800	46	0	0	0	0	40	0	0	53
0	1	0	52	43200	62	1	0	0	0	50	0	0	53
1	1	0	52	36000	62	1	0	0	0	50	0	0	53
1	1	0	52	65000	38	0	0	1	0	40	0	0	53
0	1	0	52	90500	39	0	0	1	0	50	0	0	53
1	1	0	52	8700	59	0	1	0	0	45	1	1	53
1	1	0	48	62000	28	0	0	1	0	40	0	0	53
1	0	0	52	62002	34	0	0	0	1	45	0	1	53
0	0	1	52	83000	30	0	1	0	0	50	0	0	53
0	1	0	52	85000	62	0	0	0	1	60	1	0	53
1	1	0	52	20000	54	0	0	0	1	35	1	0	53
1	0	1	52	18000	31	0	0	0	1	35	1	0	53
0	0	1	52	67000	24	0	0	1	0	40	0	0	53
0	1	0	52	63000	62	0	0	1	0	40	0	0	53
0	0	1	52	40000	42	1	0	0	0	60	0	0	53
1	0	0	52	30000	42	0	0	0	0	40	0	1	53
0	1	0	52	54000	56	0	0	1	0	48	0	0	53
1	1	0	52	45000	55	0	0	1	0	40	0	0	53
1	1	0	52	41702	48	0	0	0	0	40	0	0	53
1	0	1	52	22000	25	1	0	0	0	35	0	1	53
0	0	0	52	89000	43	1	0	0	0	40	0	1	53
1	0	1	52	41000	25	0	0	1	0	40	0	1	53
0	1	0	52	12000	60	1	0	0	0	40	1	0	53
0	0	0	52	50000	35	0	1	0	0	40	0	0	53
0	1	0	52	99000	34	0	1	0	0	40	0	1	53
1	0	0	52	11500	60	0	0	0	0	35	0	1	53
0	1	0	52	30000	39	0	1	0	0	40	0	1	53
0	1	0	52	45000	63	0	1	0	0	40	0	0	53
0	1	0	48	90000	60	0	1	0	0	50	0	0	53
1	1	0	52	24000	55	0	0	0	0	40	0	1	53
0	1	0	52	27000	56	1	0	0	0	40	0	1	53
0	0	1	52	28000	28	1	0	0	0	40	0	1	53
1	1	0	52	36000	27	0	1	0	0	40	0	0	53
0	1	0	52	36000	27	0	1	0	0	40	0	0	53
0	1	0	52	117000	24	0	1	0	0	40	0	1	53
1	1	0	52	24000	41	0	1	0	0	35	0	1	53
0	1	0	52	50000	31	1	0	0	0	40	0	1	53
0	0	1	52	33000	61	1	0	0	0	70	1	1	53
0	0	1	52	32000	51	0	0	0	0	55	1	1	53
1	1	0	52	88000	51	0	0	0	1	60	0	1	53
0	1	0	52	30000	50	1	0	0	0	40	0	1	53
0	1	0	52	53000	37	0	0	0	1	40	0	1	53
1	0	0	48	16000	64	0	0	0	0	35	0	1	53
1	0	1	48	1750	27	0	1	0	0	35	0	1	53
0	1	0	52	68000	40	0	0	0	1	40	0	0	53
1	1	0	52	70000	39	0	0	0	1	40	0	0	53
0	1	0	52	150000	42	0	0	1	0	40	1	0	53
0	1	0	52	30000	36	0	0	0	0	40	0	1	53
1	1	0	52	28000	32	0	1	0	0	40	0	1	53
1	1	0	52	64000	56	0	1	0	0	50	0	0	53
0	0	1	52	19000	28	1	0	0	0	40	0	0	53
1	0	1	52	16000	25	0	0	1	0	35	0	0	53
